Emotion word,MC1,MC2,MC3,HK1,HK2,HK3,SG1,SG2,SG3
快乐 kuaile ‘happy’,5.18 (1.37),"Hp (100), NA (NA)","95.5, 0, 4.5",5.1 (1.31),"Hp (95.2), Ot (4.8)","95.2, 0, 4.8",4.65 (1.42),"Hp (100), NA (NA)","95, 0, 5"
快慰 kuaiwei ‘pleased’,4.86 (1.14),"Hp (95.5), Ot (4.5)","81.8, 0, 18.2",5.11 (1.17),"Hp (86.4), Un (9.1)","100, 0, 0",4.3 (1.73),"Un (47.4), Hp (36.8)","90, 0, 10"
狂 kuang ‘crazy’,5.13 (1.7),"Ot (56.5), Dg (17.4)","4.3, 65.2, 30.4",3.05 (2.24),"Nu (40.9), Ot (36.4)","9.5, 9.5, 81",4.87 (1.6),"Ot (65.2), Ag (17.4)","4.8, 38.1, 57.1"
狂乱 kuangluan ‘frenzy’,6 (1.17),"Ax (47.8), Ot (26.1)","0, 86.4, 13.6",4.1 (2.14),"Ag (22.7), Nu (22.7)","4.8, 66.7, 28.6",4.58 (1.63),"Ot (52.6), Ax (21.1)","0, 63.2, 36.8"
狂热 kuangre ‘fanatical’,6.17 (0.87),"Hp (56.5), Ot (39.1)","30.4, 21.7, 47.8",5.59 (1.97),"Hp (72.7), Ot (13.6)","86.4, 0, 13.6",5.48 (1.61),"Hp (43.5), Ot (39.1)","45.5, 13.6, 40.9"
宽心 kuanxin ‘relieved’,3.63 (1.47),"Hp (58.3), Ot (25)","83.3, 0, 16.7",3.88 (1.27),"Hp (40.9), Ot (27.3)","81.3, 0, 18.8",3.47 (1.59),"Ot (60), Nu (20)","86.7, 0, 13.3"
苦闷 kumen ‘depressed’,4.96 (1.1),"Sd (45.8), Ax (33.3)","0, 91.7, 8.3",4.55 (1.34),"Ot (45.5), Sd (18.2)","0, 90.9, 9.1",4.87 (0.72),"Sd (46.7), Dg (26.7)","0, 80, 20"
苦恼 kunao ‘troubled’,5.25 (1.09),"Ax (62.5), Sd (20.8)","0, 66.7, 33.3",4.86 (0.97),"Ax (68.2), Ot (22.7)","0, 81.8, 18.2",4.93 (0.93),"Ax (33.3), Ot (33.3)","0, 80, 20"
困惑 kunhuo ‘confused’,3.87 (1.26),"Ot (60.9), Ax (30.4)","4.3, 21.7, 73.9",4.82 (0.98),"Ax (50), Ot (36.4)","0, 81.8, 18.2",4.35 (1.49),"Ax (39.1), Ot (34.8)","0, 59.1, 40.9"
困窘 kunjun ‘embarrassed’,4.41 (1.3),"Ot (45.5), Ax (36.4)","0, 77.3, 22.7",4.94 (1.09),"Ax (47.6), Un (23.8)","0, 75, 25",4.15 (1.41),"Un (35), Ax (30)","0, 69.2, 30.8"
来劲 laijin ‘in high spirits’,4.91 (1.35),"Hp (63.6), Ot (22.7)","63.6, 9.1, 27.3",4.88 (1.32),"Hp (42.9), Ot (28.6)","87.5, 0, 12.5",4.94 (1.65),"Hp (45), Ot (40)","88.2, 0, 11.8"
乐意 leyi ‘willing’,4.63 (1.28),"Hp (100), NA (NA)","91.7, 0, 8.3",4.09 (1.35),"Hp (81.8), Ot (13.6)","81.8, 0, 18.2",4.27 (1.61),"Hp (86.7), Nu (13.3)","100, 0, 0"
乐于 leyu ‘delight’,4.04 (1.63),"Hp (87), Nu (13)","90.9, 0, 9.1",3.36 (1.67),"Hp (77.3), Nu (22.7)","81.8, 0, 18.2",4.06 (1.43),"Hp (78.9), Ot (21.1)","84.2, 0, 15.8"
怜悯 lianmin ‘compassionate’,4.14 (1.66),"Ot (63.6), Sd (22.7)","22.7, 18.2, 59.1",4.14 (1.25),"Ot (52.4), Sd (38.1)","14.3, 14.3, 71.4",4.45 (1.12),"Ot (55), Sd (45)","10, 25, 65"
怜惜 lianxi ‘compassionate’,4.09 (1.32),"Ot (69.6), Sd (17.4)","43.5, 4.3, 52.2",3.82 (1.56),"Ot (47.6), Sd (28.6)","23.8, 19, 57.1",3.84 (1.35),"Ot (78.9), Sd (10.5)","21.1, 15.8, 63.2"
了解 liaojie ‘understand’,1.17 (0.64),"Nu (87), Ot (8.7)","8.7, 0, 91.3",1.36 (1.19),"Nu (86.4), Hp (13.6)","14.3, 0, 85.7",1.68 (1.66),"Nu (84.2), Ot (15.8)","16.7, 0, 83.3"
理解 lijie ‘understand’,2.38 (1.7),"Nu (45.8), Ot (41.7)","56.5, 0, 43.5",1.77 (1.35),"Nu (63.6), Ot (36.4)","19, 0, 81",1.73 (1.53),"Nu (80), Ot (20)","14.3, 0, 85.7"
吝惜 linxi ‘miserly’,3.65 (1.76),"Ot (65.2), Nu (13)","8.7, 47.8, 43.5",3.1 (1.64),"Ot (50), Nu (27.3)","5, 85, 10",3.44 (1.8),"Ot (39.1), Un (30.4)","6.7, 46.7, 46.7"
留神 liushen ‘careful’,1.65 (1.24),"Nu (73.9), Ot (26.1)","4.5, 0, 95.5",1.36 (1.02),"Nu (86.4), Ot (9.1)","0, 0, 100",2.21 (1.54),"Ot (52.6), Nu (42.1)","0, 0, 100"
满意 manyi ‘satisfied’,4.83 (1.24),"Hp (100), NA (NA)","95.7, 0, 4.3",4.32 (1.55),"Hp (90.9), Nu (9.1)","100, 0, 0",4.32 (1.52),"Hp (84.2), Ot (10.5)","94.7, 0, 5.3"
蔑视 mieshi ‘despise’,5.88 (1.09),"Dg (83.3), Ag (12.5)","0, 95.8, 4.2",5.41 (1.15),"Dg (77.3), Ot (18.2)","0, 100, 0",5.36 (1.63),"Dg (66.7), Ot (20)","0, 100, 0"
恼恨 naohen ‘hate’,5.87 (0.85),"Ag (56.5), Dg (21.7)","0, 60.9, 39.1",6.05 (0.64),"Ag (72.7), Dg (18.2)","0, 95.5, 4.5",5.48 (0.97),"Ag (52.2), Dg (30.4)","0, 91.3, 8.7"
溺爱 niai ‘spoil’,5.36 (1.61),"Ot (59.1), Hp (40.9)","0, 90.9, 9.1",4.43 (1.71),"Ot (52.4), Hp (28.6)","5, 80, 15",4.4 (1.88),"Ot (75), Nu (15)","5, 65, 30"
腻烦 nifan ‘bored’,5.58 (1.26),"Dg (100), NA (NA)","0, 95.8, 4.2",5.43 (1.14),"Dg (95.5), Un (4.5)","0, 100, 0",5.67 (1.07),"Dg (100), NA (NA)","0, 100, 0"
怕 pa ‘fear’,4.75 (1.61),"Fr (95.8), Nu (4.2)","0, 62.5, 37.5",4.95 (1.26),"Fr (95.5), Sp (4.5)","0, 86.4, 13.6",5.33 (1.07),"Fr (100), NA (NA)","0, 60, 40"
佩服 peifu ‘admire’,4.65 (1.55),"Ot (43.5), Hp (43.5)","87, 0, 13",4.05 (1.89),"Hp (40.9), Ot (27.3)","81.8, 0, 18.2",3.37 (1.87),"Ot (63.2), Nu (26.3)","78.9, 0, 21.1"
偏爱 pianai ‘favor’,5 (0.98),"Hp (73.9), Ot (26.1)","34.8, 17.4, 47.8",3.9 (1.41),"Hp (61.9), Ot (28.6)","42.9, 28.6, 28.6",3.67 (1.63),"Hp (47.4), Ot (31.6)","22.2, 22.2, 55.6"
牵挂 qiangua ‘care’,4.17 (1.43),"Ot (39.1), Ax (30.4)","69.6, 4.3, 26.1",4.95 (0.93),"Ot (54.5), Sd (22.7)","40.9, 4.5, 54.5",4.86 (0.92),"Ot (39.1), Sd (34.8)","22.7, 13.6, 63.6"
瞧不起 qiaobuqi ‘look down on’,4.61 (1.63),"Dg (73.9), Ot (21.7)","0, 95.7, 4.3",4.95 (1.19),"Dg (63.6), Ot (22.7)","0, 100, 0",4.23 (1.62),"Dg (52.2), Ot (26.1)","0, 100, 0"
瞧得起 qiaodeqi ‘look up to’,3.39 (1.74),"Ot (69.6), Nu (17.4)","47.8, 21.7, 30.4",3.19 (1.7),"Ot (40.9), Un (27.3)","62.5, 6.3, 31.3",2.61 (1.81),"Nu (47.8), Ot (43.5)","39.1, 13, 47.8"
奇怪 qiguai ‘strange’,3.33 (1.43),"Sp (79.2), Ot (12.5)","0, 8.3, 91.7",3.32 (1.72),"Sp (50), Nu (27.3)","0, 27.3, 72.7",3.2 (1.47),"Sp (46.7), Ot (33.3)","6.7, 6.7, 86.7"
轻蔑 qingmie ‘scornful’,5.14 (1.32),"Dg (86.4), Ot (9.1)","0, 100, 0",4.7 (0.64),"Dg (57.1), Ot (33.3)","0, 100, 0",4.67 (1.37),"Ot (40), Dg (40)","0, 94.4, 5.6"
情愿 qingyuan ‘willingly’,3.5 (1.85),"Hp (45.8), Ot (29.2)","43.5, 0, 56.5",2.23 (1.76),"Nu (63.6), Ot (36.4)","0, 13.6, 86.4",3.6 (1.67),"Ot (73.3), Nu (26.7)","33.3, 0, 66.7"
钦佩 qinpei ‘admire’,4.92 (1.47),"Hp (75), Ot (20.8)","95.8, 0, 4.2",4.95 (1.02),"Ot (54.5), Hp (45.5)","95.5, 0, 4.5",4.46 (1.45),"Ot (46.7), Hp (26.7)","84.6, 0, 15.4"
歧视 qishi ‘discriminate’,5.64 (1.33),"Dg (77.3), Ot (18.2)","0, 95.5, 4.5",4.57 (1.56),"Dg (71.4), Ot (14.3)","4.8, 90.5, 4.8",5.47 (1.14),"Dg (60), Ot (35)","0, 95, 5"
器重 qizhong ‘think highly of’,3.58 (2.02),"Hp (50), Ot (29.2)","87.5, 0, 12.5",2.91 (1.9),"Ot (54.5), Nu (40.9)","57.1, 0, 42.9",3.27 (2.05),"Ot (46.7), Nu (40)","71.4, 7.1, 21.4"
热爱 reai ‘love’,6 (1.04),"Hp (100), NA (NA)","95.8, 0, 4.2",6.09 (0.73),"Hp (95.5), Ot (4.5)","90.5, 0, 9.5",6.13 (0.81),"Hp (73.3), Ot (26.7)","93.3, 0, 6.7"
如意 ruyi ‘contented’,4.36 (1.43),"Hp (95.5), Ot (4.5)","95.5, 0, 4.5",3.81 (1.92),"Hp (85.7), Ot (14.3)","85.7, 0, 14.3",3.79 (1.36),"Hp (70), Ot (20)","84.2, 0, 15.8"
丧气 sangqi ‘discouraged’,4.96 (1.33),"Sd (73.9), Ot (17.4)","0, 95.7, 4.3",4.9 (0.97),"Sd (76.2), Ot (9.5)","0, 100, 0",5.11 (1.05),"Sd (68.4), Ot (26.3)","5.6, 83.3, 11.1"
伤感 shanggan ‘sad’,5.09 (1.1),"Sd (95.7), Fr (4.3)","0, 69.6, 30.4",5.05 (1.11),"Sd (95.5), Ax (4.5)","0, 86.4, 13.6",4.61 (1.01),"Sd (100), NA (NA)","0, 73.9, 26.1"
赏识 shangshi ‘appreciate’,4.35 (1.68),"Hp (82.6), Nu (8.7)","91.3, 0, 8.7",3.95 (1.94),"Hp (68.2), Nu (18.2)","90.5, 0, 9.5",2.95 (1.82),"Nu (36.8), Ot (31.6)","68.4, 0, 31.6"
伤心 shangxin ‘sad’,5.42 (1.19),"Sd (100), NA (NA)","0, 79.2, 20.8",5.09 (1.24),"Sd (100), NA (NA)","0, 81.8, 18.2",5.2 (1.17),"Sd (93.3), Ot (6.7)","0, 86.7, 13.3"
生气 shengqi ‘angry’,6 (0.87),"Ag (100), NA (NA)","0, 71.4, 28.6",5.38 (1.21),"Ag (100), NA (NA)","0, 81, 19",5.1 (1.26),"Ag (100), NA (NA)","0, 80, 20"
神往 shenwang ‘rapt’,4.9 (1.85),"Hp (50), Ot (40.9)","95.2, 0, 4.8",4.27 (1.86),"Un (47.6), Hp (33.3)","45.5, 9.1, 45.5",3.29 (2.25),"Un (65), Ot (25)","42.9, 0, 57.1"
失望 shiwang ‘disappointed’,4.96 (1.31),"Sd (75), Ot (16.7)","0, 87.5, 12.5",5.09 (1),"Sd (81.8), Ot (18.2)","0, 95.5, 4.5",5.2 (1.11),"Sd (80), Ot (13.3)","6.7, 86.7, 6.7"
爽心 shuangxin ‘comfortable’,4.96 (0.91),"Hp (95.8), Un (4.2)","100, 0, 0",4.73 (0.93),"Hp (68.2), Un (31.8)","93.3, 0, 6.7",4.38 (0.84),"Hp (46.7), Ot (40)","69.2, 0, 30.8"
舒畅 shuchang ‘pleasant’,4.78 (1.44),"Hp (91.3), Ot (8.7)","95.7, 0, 4.3",4.55 (1.27),"Hp (86.4), Ot (9.1)","100, 0, 0",3.58 (1.9),"Hp (36.8), Ot (36.8)","77.8, 0, 22.2"
舒服 shufu ‘comfortable’,4.63 (1.11),"Hp (95.8), Nu (4.2)","91.7, 0, 8.3",4.64 (0.88),"Hp (81.8), Ot (18.2)","100, 0, 0",3.87 (1.63),"Ot (40), Hp (40)","73.3, 0, 26.7"
顺心 shunxin ‘contented’,3.75 (1.48),"Hp (95.8), Nu (4.2)","95.8, 0, 4.2",4.33 (1.08),"Hp (72.7), Ot (22.7)","95.2, 0, 4.8",4.2 (1.28),"Hp (66.7), Ot (26.7)","80, 0, 20"
舒坦 shutan ‘comfortable’,4.54 (1.35),"Hp (91.7), Ot (8.3)","95.8, 0, 4.2",4.05 (1.49),"Hp (77.3), Ot (18.2)","90.9, 0, 9.1",4.07 (1.77),"Ot (53.3), Hp (33.3)","80, 0, 20"
舒心 shuxin ‘comfortable’,4.61 (1.24),"Hp (82.6), Ot (13)","95.7, 0, 4.3",4.45 (1.28),"Hp (90.9), Un (9.1)","100, 0, 0",4 (1.07),"Hp (69.6), Ot (21.7)","95.2, 0, 4.8"
松快 songkuai ‘contented’,4.45 (1.12),"Hp (91.3), Un (4.3)","86.4, 0, 13.6",4.83 (1.46),"Hp (72.7), Un (18.2)","94.4, 0, 5.6",4.55 (1.28),"Hp (73.9), Un (13)","90, 0, 10"
酸辛 suanxin ‘miserable’,4.7 (1.23),"Sd (65.2), Ot (30.4)","0, 65.2, 34.8",3.86 (1.71),"Sd (45.5), Ot (31.8)","4.5, 45.5, 50",5.06 (0.78),"Sd (45.5), Ot (31.8)","0, 66.7, 33.3"
讨厌 taoyan ‘hate’,4.96 (1.31),"Dg (100), NA (NA)","0, 79.2, 20.8",5.45 (0.99),"Dg (100), NA (NA)","0, 95.5, 4.5",5.2 (0.83),"Dg (73.3), Ot (13.3)","0, 73.3, 26.7"
体谅 tiliang ‘empathetic’,3.25 (1.66),"Ot (58.3), Nu (25)","65.2, 0, 34.8",3.36 (1.64),"Ot (54.5), Nu (22.7)","59.1, 0, 40.9",3.33 (1.89),"Ot (53.3), Nu (33.3)","66.7, 0, 33.3"
体贴 titie ‘considerate’,3.22 (1.47),"Ot (43.5), Hp (34.8)","87, 0, 13",3.55 (2.08),"Ot (36.4), Hp (31.8)","95.2, 0, 4.8",3.84 (1.87),"Ot (78.9), Nu (15.8)","83.3, 0, 16.7"
痛恨 tonghen ‘hate’,6.7 (0.46),"Dg (78.3), Ag (17.4)","0, 82.6, 17.4",6.36 (0.77),"Ag (63.6), Dg (22.7)","0, 95.5, 4.5",6.09 (0.78),"Dg (60.9), Ag (34.8)","0, 95.7, 4.3"
痛快 tongkuai ‘to one’s great satisfaction’,5.26 (1.48),"Hp (82.6), Ot (13)","82.6, 0, 17.4",5.05 (1.69),"Hp (86.4), Nu (9.1)","86.4, 0, 13.6",5.57 (1.14),"Hp (82.6), Ot (13)","82.6, 0, 17.4"
同情 tongqing ‘empathy’,4.41 (1.47),"Ot (77.3), Sd (18.2)","27.3, 13.6, 59.1",3.76 (1.54),"Ot (71.4), Nu (14.3)","21.1, 10.5, 68.4",3.85 (1.28),"Ot (75), Sd (20)","25, 10, 65"
痛心 tongxin ‘grief’,6.29 (1.1),"Sd (87.5), Ag (4.2)","0, 100, 0",5.95 (0.88),"Sd (77.3), Ot (9.1)","0, 90.9, 9.1",5.8 (0.91),"Sd (86.7), Ot (13.3)","0, 86.7, 13.3"
投入 touru ‘actively engaged’,2.65 (2.2),"Nu (52.2), Ot (39.1)","40.9, 0, 59.1",2.43 (1.5),"Nu (47.6), Hp (38.1)","71.4, 0, 28.6",1.95 (1.73),"Nu (68.4), Ot (31.6)","27.8, 5.6, 66.7"
头疼 touteng ‘headache’,3.57 (1.86),"Ax (47.8), Nu (21.7)","0, 43.5, 56.5",2.82 (1.85),"Ax (36.4), Nu (36.4)","0, 50, 50",3.43 (1.47),"Ot (26.1), Ax (26.1)","0, 54.5, 45.5"
推崇 tuichong ‘praise highly’,4.92 (1.75),"Hp (79.2), Ot (12.5)","79.2, 0, 20.8",4.32 (1.89),"Hp (50), Ot (36.4)","68.2, 0, 31.8",2.79 (1.97),"Nu (40), Hp (33.3)","57.1, 0, 42.9"
颓丧 tuisang ‘dispirited’,4.91 (1.25),"Ax (34.8), Ot (34.8)","0, 95.7, 4.3",4.73 (1.48),"Sd (45.5), Ax (18.2)","0, 95.5, 4.5",4.84 (1.31),"Sd (57.9), Ot (36.8)","0, 89.5, 10.5"
颓唐 tuitang ‘dejected’,5.18 (1.3),"Sd (39.1), Ot (34.8)","0, 100, 0",4.39 (1.06),"Ot (52.4), Sd (19)","0, 89.5, 10.5",4 (1.76),"Un (42.1), Ot (31.6)","0, 72.7, 27.3"
畏惧 weiju ‘fear’,5.46 (1.35),"Fr (100), NA (NA)","0, 75, 25",5.73 (0.75),"Fr (86.4), Ax (9.1)","0, 90.9, 9.1",6 (1.1),"Fr (93.3), Ot (6.7)","0, 80, 20"
为难 weinan ‘be in a difficult situation’,4.09 (1.04),"Ax (59.1), Ot (40.9)","4.5, 72.7, 22.7",3.95 (1.59),"Ot (52.4), Ax (23.8)","0, 75, 25",3.45 (1.6),"Ot (45), Nu (25)","0, 57.9, 42.1"
畏怯 weiqie ‘coward’,5.33 (1.25),"Fr (95.8), Ax (4.2)","0, 91.3, 8.7",5.27 (0.91),"Fr (68.2), Ax (31.8)","0, 90.9, 9.1",5.31 (1.64),"Fr (86.7), Un (13.3)","0, 100, 0"
委屈 weiqu ‘feel wronged’,4.74 (0.74),"Sd (87), Ax (8.7)","4.3, 47.8, 47.8",5.05 (0.98),"Sd (72.7), Ax (18.2)","0, 95.5, 4.5",4.89 (1.12),"Sd (57.9), Ot (36.8)","0, 94.7, 5.3"
窝火 wohuo ‘angry’,6.04 (0.79),"Ag (91.7), Hp (4.2)","4.2, 83.3, 12.5",5.3 (1.1),"Un (54.5), Ag (31.8)","0, 90, 10",5.5 (1),"Un (46.7), Ag (40)","0, 87.5, 12.5"
窝囊 wonang ‘feel vexed’,4.61 (1.74),"Dg (60.9), Ot (21.7)","0, 95.5, 4.5",4.73 (1.71),"Dg (40.9), Ot (27.3)","0, 95.5, 4.5",3.94 (2.11),"Un (30.4), Dg (26.1)","0, 93.8, 6.3"
窝心 woxin ‘pleased’,4.9 (1.3),"Hp (43.5), Un (13)","60, 25, 15",4.91 (1.16),"Hp (100), NA (NA)","100, 0, 0",5 (0.92),"Hp (65.2), Un (17.4)","84.2, 0, 15.8"
无辜 wugu ‘innocent’,2.35 (1.37),"Ot (52.2), Nu (30.4)","4.3, 13, 82.6",3 (1.83),"Ot (40.9), Nu (31.8)","13.6, 36.4, 50",1.77 (1.28),"Nu (65.2), Ot (26.1)","23.8, 4.8, 71.4"
无聊 wuliao ‘bored’,2.55 (1.75),"Ot (50), Nu (36.4)","0, 27.3, 72.7",2.57 (1.73),"Nu (42.9), Ot (42.9)","0, 20, 80",2 (1.26),"Ot (45), Nu (40)","0, 26.3, 73.7"
无奈 wunai ‘helpless’,4.08 (1.44),"Sd (50), Ot (37.5)","0, 75, 25",4.41 (1.44),"Ot (86.4), Sd (9.1)","0, 59.1, 40.9",4.67 (1.3),"Ot (53.3), Sd (20)","0, 66.7, 33.3"
喜爱 xiai ‘favorite’,4.52 (1.41),"Hp (91.3), Ot (4.3)","87, 0, 13",4.73 (1.45),"Hp (90.9), Nu (4.5)","95.5, 0, 4.5",4.96 (1.12),"Hp (100), NA (NA)","100, 0, 0"
想 xiang ‘think’,2.59 (1.9),"Nu (43.5), Ot (43.5)","13.6, 0, 86.4",1.86 (1.46),"Nu (63.6), Ot (18.2)","19, 0, 81",1.89 (1.8),"Nu (78.9), Ot (15.8)","11.1, 0, 88.9"
相信 xiangxin ‘believe’,3.57 (2.14),"Ot (60.9), Nu (30.4)","60.9, 0, 39.1",2.23 (1.93),"Nu (59.1), Ot (31.8)","50, 0, 50",3.26 (1.89),"Ot (39.1), Nu (30.4)","68.2, 0, 31.8"
羡慕 xianmu ‘admire’,4.52 (1.21),"Ot (69.6), Hp (13)","43.5, 13, 43.5",4.27 (1.17),"Ot (77.3), Hp (18.2)","45.5, 4.5, 50",3.83 (1.46),"Ot (65.2), Nu (17.4)","21.7, 21.7, 56.5"
闲适 xianshi ‘comfortable’,2.61 (1.52),"Hp (43.5), Ot (30.4)","69.6, 0, 30.4",3.36 (1.69),"Hp (59.1), Ot (27.3)","81.8, 0, 18.2",2.44 (1.34),"Ot (52.6), Nu (36.8)","22.2, 0, 77.8"
闲雅 xianya ‘elegant’,2.75 (1.61),"Hp (41.7), Ot (33.3)","78.3, 0, 21.7",3 (1.48),"Ot (40.9), Hp (31.8)","68.2, 0, 31.8",1.85 (1.51),"Nu (60), Ot (26.7)","23.1, 0, 76.9"
晓畅 xiaochang ‘contented’,4.5 (1.72),"Hp (45.5), Un (36.4)","85.7, 0, 14.3",4.75 (1.01),"Hp (47.6), Un (42.9)","91.7, 0, 8.3",3.67 (1.94),"Un (55), Ot (15)","75, 0, 25"
消沉 xiaochen ‘depressed’,4.92 (1.55),"Sd (66.7), Ot (25)","0, 100, 0",5.14 (1.06),"Sd (72.7), Ot (27.3)","0, 90.9, 9.1",4.4 (1.4),"Sd (53.3), Ot (33.3)","6.7, 73.3, 20"
消魂 xiaohun ‘enchanted’,4.7 (2.07),"Ot (50), Hp (16.7)","13.6, 9.1, 77.3",4.38 (1.49),"Ot (54.5), Un (27.3)","18.8, 18.8, 62.5",3.5 (1.84),"Ot (46.7), Nu (26.7)","7.7, 53.8, 38.5"
孝敬 xiaojing ‘filial’,3 (2.02),"Ot (56.5), Nu (39.1)","60.9, 0, 39.1",3.09 (2.07),"Nu (36.4), Ot (36.4)","68.2, 0, 31.8",3.14 (1.87),"Ot (43.5), Nu (34.8)","90.5, 4.8, 4.8"
逍遥 xiaoyao ‘leisurely’,3.52 (1.86),"Hp (56.5), Ot (21.7)","56.5, 0, 43.5",3.73 (1.86),"Hp (59.1), Ot (22.7)","71.4, 4.8, 23.8",3.26 (2.1),"Hp (36.8), Nu (36.8)","50, 5.6, 44.4"
吓人 xiaren ‘frightening’,5.05 (1.11),"Fr (81.8), Sp (18.2)","0, 54.5, 45.5",4.81 (1.43),"Sp (71.4), Fr (23.8)","0, 66.7, 33.3",4.4 (1.36),"Sp (45), Fr (35)","5, 40, 55"
喜欢 xihuan ‘like’,4.96 (1.14),"Hp (95.8), Ot (4.2)","91.7, 0, 8.3",4.95 (1.33),"Hp (95.5), Nu (4.5)","86.4, 0, 13.6",5.2 (1.56),"Hp (73.3), Ot (13.3)","86.7, 0, 13.3"
信服 xinfu ‘convinced’,3.77 (2),"Ot (72.7), Nu (22.7)","63.6, 0, 36.4",2.43 (1.89),"Nu (52.4), Ot (38.1)","52.6, 0, 47.4",3.11 (2.07),"Ot (50), Nu (35)","27.8, 5.6, 66.7"
心浮 xinfu ‘impatient’,3.95 (1.76),"Ax (45.8), Ot (29.2)","0, 76.2, 23.8",3.85 (1.75),"Un (40.9), Ax (22.7)","0, 84.6, 15.4",2.6 (1.62),"Un (33.3), Ot (26.7)","0, 30, 70"
兴奋 xingfen ‘excited’,6.14 (0.97),"Hp (100), NA (NA)","95.5, 0, 4.5",5.62 (1.17),"Hp (95.2), Ot (4.8)","90.5, 4.8, 4.8",5.4 (1.2),"Hp (95), Sp (5)","100, 0, 0"
幸福 xingfu ‘happy’,5.41 (1.4),"Hp (100), NA (NA)","100, 0, 0",5.33 (1.25),"Hp (95.2), Ot (4.8)","100, 0, 0",5.8 (0.81),"Hp (90), Ot (10)","90, 0, 10"
心寒 xinhan ‘disappointed’,5.7 (1.23),"Sd (69.6), Ot (26.1)","0, 78.3, 21.7",5.75 (0.99),"Fr (85.7), Sp (14.3)","0, 95.2, 4.8",5.26 (1.25),"Sd (52.6), Ot (42.1)","0, 89.5, 10.5"
心慌 xinhuang ‘anxious’,5 (1),"Ax (65.2), Fr (34.8)","0, 70.8, 29.2",5.05 (1.11),"Fr (68.2), Ax (22.7)","0, 81.8, 18.2",5.4 (0.61),"Ax (66.7), Fr (26.7)","0, 73.3, 26.7"
心急 xinji ‘impatient’,4.87 (1.42),"Ax (100), NA (NA)","0, 47.8, 52.2",4.59 (1.56),"Ax (86.4), Nu (9.1)","0, 50, 50",5.05 (1.19),"Ax (84.2), Ot (10.5)","0, 84.2, 15.8"
心焦 xinjiao ‘anxious’,5.13 (1.23),"Ax (100), NA (NA)","4.3, 73.9, 21.7",5.19 (0.79),"Ax (86.4), Fr (4.5)","0, 81, 19",5.14 (0.92),"Ax (87), Un (4.3)","0, 77.3, 22.7"
信赖 xinlai ‘trust’,3.78 (2.17),"Ot (65.2), Nu (30.4)","73.9, 0, 26.1",3.73 (2.05),"Ot (45.5), Nu (31.8)","77.3, 0, 22.7",3.52 (2),"Ot (56.5), Nu (30.4)","71.4, 0, 28.6"
心切 xinqie ‘anxious’,4.48 (1.74),"Ot (36.4), Ax (31.8)","23.8, 14.3, 61.9",4.87 (1.41),"Ax (38.1), Un (28.6)","21.4, 21.4, 57.1",3.94 (2.01),"Ax (30), Ot (25)","5.9, 11.8, 82.4"
信任 xinren ‘trust’,3.7 (2.35),"Ot (52.2), Nu (34.8)","69.6, 0, 30.4",3.05 (2.08),"Nu (42.9), Ot (38.1)","68.2, 0, 31.8",3.45 (1.92),"Ot (47.8), Nu (30.4)","72.7, 0, 27.3"
心酸 xinsuan ‘sad’,5.39 (0.82),"Sd (73.9), Ot (26.1)","0, 60.9, 39.1",5.24 (0.81),"Sd (77.3), Ot (9.1)","4.8, 85.7, 9.5",5.26 (0.96),"Sd (78.9), Ot (21.1)","0, 84.2, 15.8"
辛酸 xinsuan ‘sad’,4.91 (0.88),"Sd (65.2), Ot (34.8)","0, 60.9, 39.1",3.91 (1.93),"Sd (40.9), Ot (31.8)","4.5, 59.1, 36.4",4.91 (0.67),"Sd (60.9), Ot (30.4)","0, 72.7, 27.3"
欣慰 xinwei ‘pleased’,4.64 (0.98),"Hp (100), NA (NA)","95.5, 0, 4.5",5 (1.35),"Hp (100), NA (NA)","100, 0, 0",4.61 (1.01),"Hp (73.9), Ot (26.1)","100, 0, 0"
欣喜 xinxi ‘happy’,5.41 (1.23),"Hp (100), NA (NA)","95.5, 0, 4.5",4.81 (1.5),"Hp (100), NA (NA)","90.5, 0, 9.5",5.1 (1.14),"Hp (100), NA (NA)","100, 0, 0"
心虚 xinxu ‘guilty’,4.92 (0.95),"Fr (62.5), Ax (37.5)","0, 91.7, 8.3",4.68 (1.06),"Fr (72.7), Ax (27.3)","0, 95.5, 4.5",5.2 (0.98),"Fr (46.7), Ot (40)","0, 100, 0"
羞惭 xiucan ‘ashamed’,4.91 (1.38),"Ot (78.3), Ax (8.7)","4.5, 59.1, 36.4",5 (1),"Sd (45.5), Ot (40.9)","0, 95.5, 4.5",4.74 (1.52),"Ot (73.7), Sd (10.5)","0, 52.6, 47.4"
羞愧 xiukui ‘ashamed’,4.91 (1.38),"Ot (56.5), Fr (21.7)","0, 65.2, 34.8",4.5 (1.23),"Ot (40.9), Fr (27.3)","0, 81.8, 18.2",4.57 (1.38),"Ot (78.3), Sd (13)","0, 73.9, 26.1"
羞怯 xiuqie ‘shy’,3.88 (1.48),"Ot (41.7), Fr (37.5)","4.2, 16.7, 79.2",4 (1.51),"Fr (45.5), Ot (40.9)","0, 27.3, 72.7",4.62 (1.6),"Ot (57.1), Fr (21.4)","7.7, 38.5, 53.8"
